,alpha,beta,s,c,old_crt,new_crt,t0,kappa,F_cmoonn,L_cmoonn,Lcmonno,an_oool
190,0.11586162507389865,1.567022291200837,0.32655102999520086,0.5798588595750234,1.4737476541698797,-2.933426069320702,699.0,37.0,0.5153119753218227,0.7957918074857412,0.426340639338998,0.47166008592781755
192,0.8044530562731991,1.691507404047279,0.7039933007840292,0.99,1.0,-4.437768412918977,699.0,37.0,0.9848235632716453,0.99,0.13197778551847406,0.5
203,0.05002276959268161,1.4163521692015335,0.193182285827843,0.22796869244467385,1.9568062614944481,-3.088119216212887,699.0,37.0,0.4983194253889189,0.8694038752305736,0.03603630681307777,0.4983191987451675
206,1.0000000000010011e-05,1.705762599529693,0.00010000000000000286,0.9899999999515441,1.0,-4.999999999999997,699.0,37.0,0.880310155399204,0.99,0.0,0.4667125025349259
207,1.0000001061993842e-05,2.138711522243883,0.00010000000105869766,0.9899999999900334,1.0000000000032685,-4.999999999993235,699.0,37.0,0.9899187998561461,0.989999999998098,2.854938507538096e-13,0.4698807894632825
211,0.21817773067606583,1.6789545808695814,0.6310224465472518,0.9899999999997305,1.000000000001874,-5.0,699.0,37.0,0.989999999995603,0.9899999999996675,4.514583151308663e-13,0.4999999999995486
220,0.999999534867366,1.0000000462215564,0.9999998083795957,0.989999999996332,1.0000000000052174,-4.9999999999090905,699.0,37.0,0.99,0.9899999999931777,5.420179331361108e-10,0.446563560579378
232,0.11629287658280445,1.5619386570604679,0.7987359756996164,0.7261745189647978,1.0000000054701306,-4.999903134040675,699.0,37.0,0.8914196412800686,0.9899998825996954,8.800055239090237e-09,0.4503546764894367
235,0.8815386790121862,1.9465697363655892,0.3474941541344866,0.9899999999978265,1.0000000000542744,-4.999999990284585,699.0,37.0,0.7455303017303199,0.9899999997703024,0.28586752368165913,0.4999999999985087
236,0.20041619473780084,1.2889320695559625,9.999999999998899e-05,0.548246077491712,1.0000000000115121,-4.999999999608634,699.0,37.0,0.9899999999769596,0.9899999999991365,1.462940879685944e-12,0.49999999999998784
239,0.12074355100978863,1.3058126909546535,0.3098209443848038,0.2557214119550865,1.9357568952777213,-2.259219034095277,699.0,37.0,0.5000000703191101,0.9287923554727778,0.5010282280061383,0.49999999862607825
243,0.38410992571566693,1.2261563781014144,0.013850562203470817,0.9899999999999911,1.0,-5.0,699.0,37.0,0.5648997594782842,0.9899999999999962,1.6558875166220371e-21,0.28193766073387017
244,0.3225402334992015,1.6765513543028039,0.1399276175272235,0.18437053994563166,2.0898829703804043,-1.4858025656275544,699.0,37.0,0.5122923252613941,0.9506004756298042,0.1782967480397033,0.41578562077388137
245,0.10234615417393185,1.9497352280380016,0.00010000000000434081,0.9899999999881312,1.0000000000002622,-5.0,699.0,37.0,0.980820892625483,0.9899999999999585,1.2472421124873757e-08,0.49999999999998435
251,0.9833236149093387,1.6295573501667526,0.9049498476663967,0.9615704869195011,1.2807897608916208,-4.348047561656588,699.0,37.0,0.6892932084732405,0.9556063256010652,0.0022401470902867855,0.32011759978842175
259,1.0000005384632133e-05,2.05210067198414,9.999999999998899e-05,0.561803690567844,1.0000000039744177,-5.0,699.0,37.0,0.9886704413377241,0.9899999991175358,3.5890238000177205e-10,0.46126360284930146
261,0.17649904785277848,1.6465136378050786,0.4549444851129571,0.5231148275113056,1.6550441652496788,-1.3552962042692362,699.0,37.0,0.4492490297269081,0.6289344894290136,0.34207052553363765,0.4492320863225403
264,0.9999968096347246,1.0000022686599288,1.0,0.9899998289494639,1.0,-4.9999999992995985,699.0,37.0,0.9899995636745913,0.99,0.0,0.28517310889326736
269,1.0000000000000004e-05,1.0000000002,0.00010000002049643066,0.8752052919865807,1.0,-4.993468793110809,699.0,37.0,0.5332207575860181,0.99,2.042654283102138e-07,0.5
270,0.6137716206445429,1.5644067193152589,0.08237159977620044,0.17194252603438712,1.3730987379995474,-4.5927558456452005,699.0,37.0,0.2677740558741446,0.8514538184921359,0.3195221591877935,0.2677736159861061
274,0.7088195544706825,1.1761113902592726,0.09363346485624285,0.7985035451623455,2.158858767796136,-3.990562605652457,699.0,37.0,0.5000044227769374,0.25914223320379276,0.15181006538302275,0.499999999362969
280,0.47862068052671913,1.1279882018911371,0.010019880969456992,0.5504034105325863,1.0,-5.0,699.0,37.0,0.5207438906933456,0.99,0.0,0.4165375620581315
283,1.0000007109706847e-05,1.9778219118966498,0.00010000000276297327,0.22969021315418087,1.0,-3.930669960396791,699.0,37.0,0.99,0.6440023793551163,0.34692671300770556,0.18408505744849563
307,0.9999999999319181,1.0000000000345726,0.9999999999993823,0.9899999999944981,1.0,-4.9999999999999805,699.0,37.0,0.9899999999620837,0.99,0.0,0.24715922979250624
314,0.9010250363301506,1.279276045971595,0.2610896036280707,0.9899999999993021,1.0,-4.999999999971066,699.0,37.0,0.9899999999999939,0.99,9.568397982704541e-11,0.5
320,0.44224530171111476,1.6354691307461322,0.00010000000003035359,0.78615915423021,1.0000000000016778,-4.999999999890115,699.0,37.0,0.9899999999949254,0.9773392299749483,5.24164040253902e-13,0.0841402899772421
328,0.19545018919236293,1.9846449037437042,0.257735339890092,0.43725880752323976,2.252203513193292,-2.2936110827144285,699.0,37.0,0.5000004495919264,0.6998972269669607,0.09811346813289942,0.4999999999999985
331,0.3719746920707826,1.8638237194821463,0.0001,0.6043100011519166,1.0,-5.0,699.0,37.0,0.9899999999961144,0.99,0.0,0.44559318910351764
333,0.4465537875342117,1.1175371478161065,0.025479103317465834,0.37066528115860436,1.1596785341960614,-4.568090408054287,699.0,37.0,0.0986492498932772,0.7030279871517746,0.265745089902518,0.07551886405982505
336,0.5881298232909881,1.6541954571963124,0.020568640038047734,0.4345975447644982,1.000000000000039,-5.0,699.0,37.0,0.5135355084358304,0.9899999999999792,5.512258702253527e-15,0.36969956528751174
346,0.30773101495772887,1.9707907269578666,0.34610960709172167,0.652385335909776,1.4753913125821252,-1.5142708376079739,699.0,37.0,0.5000007580010236,0.9145311736354381,0.8211638322880516,0.4999999999999998
353,0.39381483413631596,1.7696869508324895,0.5124224229453144,0.727229116311752,1.0000000008119476,-4.999989736988731,699.0,37.0,0.9899999862772847,0.989999999656626,1.29216097239694e-09,0.4970906958193302
360,0.43760968748099294,1.3826452511922078,0.0001,0.5838203641424313,1.0,-4.999999999993562,699.0,37.0,0.982625321015504,0.99,2.3696322681843197e-25,0.49437272869914467
365,0.9999990935085298,1.000000399180813,0.9999991794979988,0.989999977270656,1.0,-4.999999999641747,699.0,37.0,0.99,0.99,0.09712708212348564,0.499999828122027
377,0.7328500278964805,1.478126125437682,0.6557274249360652,0.9899999993894039,1.0000000009030732,-4.999998131563259,699.0,37.0,0.6618149718216534,0.9899999909016215,1.6266932238501767e-11,0.45100798634376815
378,1e-05,1.4777656145994795,0.0001,0.4997447163987876,1.0,-5.0,699.0,37.0,0.9898186506659444,0.99,0.0,0.5
379,0.4856588671185837,1.3950341255745975,0.9952293653479494,0.47940432062789184,1.0000000000472165,-4.999999996126127,699.0,37.0,0.9899999999986759,0.9899999999766472,8.537064836634933e-12,0.49999999999146294
380,0.9999999183044807,1.5218658414299313,0.9999999322660637,0.9899999087527421,1.0000033097101344,-4.9986079477049685,699.0,37.0,0.9899999311741297,0.9899947918457076,0.9741645432825974,0.4999999572626348
