"","FileCondi","Subnum","Old","Stimkind","RT","Error"
"210","MIX",21,"New","CM",591.5,0.0508474576271186
"211","MIX",21,"Old","AN",570.5,0.04
"212","MIX",21,"Old","CM",524.5,0.0222222222222223
"213","MIX",22,"New","AN",645,0.0487804878048781
"214","MIX",22,"New","CM",714,0.0357142857142857
"215","MIX",22,"Old","AN",686.5,0.0980392156862745
"216","MIX",22,"Old","CM",671,0.295454545454545
"217","MIX",23,"New","AN",593,0
"218","MIX",23,"New","CM",624,0.113636363636364
"219","MIX",23,"Old","AN",596,0
"220","MIX",23,"Old","CM",652,0.0952380952380952
"221","MIX",24,"New","AN",893,0.0238095238095238
"222","MIX",24,"New","CM",948,0.0196078431372549
"223","MIX",24,"Old","AN",1116,0.102040816326531
"224","MIX",24,"Old","CM",964.5,0.0612244897959183
"225","MIX",25,"New","AN",649,0
"226","MIX",25,"New","CM",768,0.0217391304347826
"227","MIX",25,"Old","AN",732.5,0.0714285714285714
"228","MIX",25,"Old","CM",741,0.113207547169811
"229","MIX",26,"New","AN",746.5,0.0181818181818182
"230","MIX",26,"New","CM",825,0.291666666666667
"231","MIX",26,"Old","AN",730,0.0363636363636364
"232","MIX",26,"Old","CM",775.5,0
"233","MIX",28,"New","AN",767,0
"234","MIX",28,"New","CM",850,0.0384615384615384
"235","MIX",28,"Old","AN",788,0
"236","MIX",28,"Old","CM",782,0
"237","MIX",29,"New","AN",540,0.0535714285714286
"238","MIX",29,"New","CM",659.5,0.317073170731707
"239","MIX",29,"Old","AN",557,0.0612244897959183
"240","MIX",29,"Old","CM",519,0.0227272727272727
"241","MIX",30,"New","AN",1216.5,0.142857142857143
"242","MIX",30,"New","CM",1218,0.421052631578947
"243","MIX",30,"Old","AN",879,0.0540540540540541
"244","MIX",30,"Old","CM",967,0.153846153846154
"245","MIX",31,"New","AN",706,0
"246","MIX",31,"New","CM",907,0.0888888888888889
"247","MIX",31,"Old","AN",788,0.0217391304347826
"248","MIX",31,"Old","CM",742,0.0384615384615384
"249","MIX",33,"New","AN",961,0.0681818181818182
"250","MIX",33,"New","CM",1262,0.2
"251","MIX",33,"Old","AN",1025,0.134615384615385
"252","MIX",33,"Old","CM",1011,0.218181818181818
"253","MIX",34,"New","AN",617,0
"254","MIX",34,"New","CM",806,0.1
"255","MIX",34,"Old","AN",542,0.05
"256","MIX",34,"Old","CM",612,0.0344827586206896
"257","MIX",35,"New","AN",543,0
"258","MIX",35,"New","CM",623,0.0816326530612245
"259","MIX",35,"Old","AN",572,0.0172413793103449
"260","MIX",35,"Old","CM",549.5,0.032258064516129
"261","MIX",36,"New","AN",750,0.0181818181818182
"262","MIX",36,"New","CM",756,0.0909090909090909
"263","MIX",36,"Old","AN",835,0.0952380952380952
"264","MIX",36,"Old","CM",808.5,0.0196078431372549
"265","MIX2",1,"New","AN",867,0
"266","MIX2",1,"New","CM",972.5,0.08
"267","MIX2",1,"Old","AN",899.5,0.0212765957446809
"268","MIX2",1,"Old","CM",944,0.17948717948718
"269","MIX2",2,"New","AN",710,0
"270","MIX2",2,"New","CM",833,0.333333333333333
"271","MIX2",2,"Old","AN",749.5,0.2
"272","MIX2",2,"Old","CM",680.5,0.0232558139534884
"273","MIX2",3,"New","AN",717,0
"274","MIX2",3,"New","CM",789,0.0175438596491229
"275","MIX2",3,"Old","AN",893,0.0408163265306123
"276","MIX2",3,"Old","CM",1126,0.146341463414634
"277","MIX2",4,"New","AN",642.5,0.0204081632653061
"278","MIX2",4,"New","CM",724.5,0.155555555555556
"279","MIX2",4,"Old","AN",726,0.12
"280","MIX2",4,"Old","CM",781,0.3125
"281","MIX2",5,"New","AN",1167,0.05
"282","MIX2",5,"New","CM",1268,0.219512195121951
"283","MIX2",5,"Old","AN",1200,0.0416666666666666
"284","MIX2",5,"Old","CM",1165,0.142857142857143
"285","MIX2",6,"New","AN",936,0.025
"286","MIX2",6,"New","CM",861,0.0196078431372549
"287","MIX2",6,"Old","AN",973.5,0.0370370370370371
"288","MIX2",6,"Old","CM",852,0.0212765957446809
"289","MIX2",7,"New","AN",1119,0.0204081632653061
"290","MIX2",7,"New","CM",1126.5,0.0909090909090909
"291","MIX2",7,"Old","AN",1069,0.0285714285714286
"292","MIX2",7,"Old","CM",1085,0.16
"293","MIX2",8,"New","AN",950,0.0444444444444444
"294","MIX2",8,"New","CM",912.5,0.115384615384615
"295","MIX2",8,"Old","AN",971,0.132075471698113
"296","MIX2",8,"Old","CM",895,0.119047619047619
"297","MIX2",9,"New","AN",1625,0.0476190476190477
"298","MIX2",9,"New","CM",1347.5,0.133333333333333
"299","MIX2",9,"Old","AN",1223,0.243243243243243
"300","MIX2",9,"Old","CM",1381,0.05
"301","MIX2",10,"New","AN",576,0.0444444444444444
"302","MIX2",10,"New","CM",640,0.208333333333333
"303","MIX2",10,"Old","AN",567,0.0392156862745098
"304","MIX2",10,"Old","CM",568.5,0.0434782608695652
"305","MIX2",11,"New","AN",1512.5,0.476190476190476
"306","MIX2",11,"New","CM",1597,0.441176470588235
"307","MIX2",11,"Old","AN",1325,0.527777777777778
"308","MIX2",11,"Old","CM",1466.5,0.60655737704918
"309","MIX2",12,"New","AN",571.5,0
"310","MIX2",12,"New","CM",644,0.0563380281690141
"311","MIX2",12,"Old","AN",663,0.0571428571428572
"312","MIX2",12,"Old","CM",649,0.075
"313","MIX2",13,"New","AN",1129,0.0540540540540541
"314","MIX2",13,"New","CM",1200,0.419354838709677
"315","MIX2",13,"Old","AN",1446,0.232558139534884
"316","MIX2",13,"Old","CM",1299.5,0.230769230769231
"317","MIX2",14,"New","AN",1384.5,0
"318","MIX2",14,"New","CM",1397,0.102564102564103
"319","MIX2",14,"Old","AN",1189.5,0.0196078431372549
"320","MIX2",14,"Old","CM",1313.5,0
"321","MIX2",15,"New","AN",801,0.0222222222222223
"322","MIX2",15,"New","CM",956,0.0655737704918032
"323","MIX2",15,"Old","AN",836,0.125
"324","MIX2",15,"Old","CM",831.5,0.0526315789473685
"325","MIX2",16,"New","AN",993,0.0425531914893617
"326","MIX2",16,"New","CM",751,0.0363636363636364
"327","MIX2",16,"Old","AN",795,0.19047619047619
"328","MIX2",16,"Old","CM",749,0.0217391304347826
"329","MIX2",17,"New","AN",616,0
"330","MIX2",17,"New","CM",699,0.115384615384615
"331","MIX2",17,"Old","AN",731,0.0975609756097561
"332","MIX2",17,"Old","CM",693,0.0652173913043478
"333","MIX2",18,"New","AN",658.5,0.0638297872340425
"334","MIX2",18,"New","CM",655.5,0.0204081632653061
"335","MIX2",18,"Old","AN",703.5,0.276595744680851
"336","MIX2",18,"Old","CM",561,0.0408163265306123
"337","MIX2",20,"New","AN",642,0
"338","MIX2",20,"New","CM",810,0.0806451612903226
"339","MIX2",20,"Old","AN",813,0.0238095238095238
"340","MIX2",20,"Old","CM",787,0.025
"341","MIX2",21,"New","AN",572,0.0185185185185185
"342","MIX2",21,"New","CM",654,0.0666666666666667
"343","MIX2",21,"Old","AN",547,0.0444444444444444
"344","MIX2",21,"Old","CM",550,0.0833333333333334
"345","MIX2",22,"New","AN",1168.5,0.24
"346","MIX2",22,"New","CM",630,0
"347","MIX2",22,"Old","AN",535,0.0888888888888889
"348","MIX2",22,"Old","CM",534,0
"349","MIX2",23,"New","AN",972.5,0.0666666666666667
"350","MIX2",23,"New","CM",1151,0.321428571428571
"351","MIX2",23,"Old","AN",912,0.108108108108108
"352","MIX2",23,"Old","CM",1100,0.117647058823529
"353","MIX2",24,"New","AN",899,0.0196078431372549
"354","MIX2",24,"New","CM",1015,0.08
"355","MIX2",24,"Old","AN",1010,0.0714285714285714
"356","MIX2",24,"Old","CM",923,0.183673469387755
"357","MIX2",25,"New","AN",650.5,0.0869565217391305
"358","MIX2",25,"New","CM",743,0.255813953488372
"359","MIX2",25,"Old","AN",570,0.1
"360","MIX2",25,"Old","CM",577,0.0754716981132075
"361","MIX2",26,"New","AN",577,0
"362","MIX2",26,"New","CM",618.5,0.0454545454545454
"363","MIX2",26,"Old","AN",590.5,0.0588235294117647
"364","MIX2",26,"Old","CM",516,0.0444444444444444
"365","MIX2",28,"New","AN",960,0.0238095238095238
"366","MIX2",28,"New","CM",1016,0.0652173913043478
"367","MIX2",28,"Old","AN",877.5,0
"368","MIX2",28,"Old","CM",940,0.0370370370370371
"369","MIX2",29,"New","AN",1021,0
"370","MIX2",29,"New","CM",1033,0.125
"371","MIX2",29,"Old","AN",828,0
"372","MIX2",29,"Old","CM",894.5,0.0943396226415094
"373","MIX2",30,"New","AN",941,0.0416666666666666
"374","MIX2",30,"New","CM",1025,0.225
"375","MIX2",30,"Old","AN",854,0.0816326530612245
"376","MIX2",30,"Old","CM",868,0.0784313725490197
"377","MIX2",31,"New","AN",1228.5,0.0769230769230769
"378","MIX2",31,"New","CM",1366,0.258064516129032
"379","MIX2",31,"Old","AN",943,0.0877192982456141
"380","MIX2",31,"Old","CM",1069,0.0588235294117647
"381","MIX2",32,"New","AN",715,0
"382","MIX2",32,"New","CM",875,0.0754716981132075
"383","MIX2",32,"Old","AN",864,0
"384","MIX2",32,"Old","CM",823,0.0192307692307693
"385","MIX2",33,"New","AN",895,0.0625
"386","MIX2",33,"New","CM",1017,0.166666666666667
"387","MIX2",33,"Old","AN",963.5,0
"388","MIX2",33,"Old","CM",939.5,0.133333333333333
"389","MIX2",34,"New","AN",1128,0
"390","MIX2",34,"New","CM",1267,0.0444444444444444
"391","MIX2",34,"Old","AN",1108,0.02
"392","MIX2",34,"Old","CM",1228,0.0465116279069767
"393","MIX2",35,"New","AN",1272.5,0.132075471698113
"394","MIX2",35,"New","CM",1337,0.425
"395","MIX2",35,"Old","AN",1141,0.108108108108108
"396","MIX2",35,"Old","CM",1214,0.290909090909091
"397","MIX2",36,"New","AN",735,0
"398","MIX2",36,"New","CM",707.5,0
"399","MIX2",36,"Old","AN",711,0.0408163265306123
"400","MIX2",36,"Old","CM",655,0.024390243902439
"401","ANpure",1,"New","AN",549,0.0113636363636364
"402","ANpure",1,"Old","AN",516,0.00961538461538458
"403","ANpure",2,"New","AN",666,0.145833333333333
"404","ANpure",2,"Old","AN",601,0.03125
"405","ANpure",3,"New","AN",750,0.032258064516129
"406","ANpure",3,"Old","AN",799,0.0404040404040404
"407","ANpure",4,"New","AN",736.5,0.0555555555555556
"408","ANpure",4,"Old","AN",746,0.0357142857142857
"409","ANpure",5,"New","AN",699,0.0337078651685393
"410","ANpure",5,"Old","AN",654.5,0.0196078431372549
"411","ANpure",6,"New","AN",612,0.0462962962962963
"412","ANpure",6,"Old","AN",617,0.0952380952380952
"413","ANpure",7,"New","AN",842,0.0543478260869565
"414","ANpure",7,"Old","AN",674,0.04
"415","ANpure",8,"New","AN",761,0.102803738317757
"416","ANpure",8,"Old","AN",667,0.0588235294117647
"417","ANpure",9,"New","AN",1801,0.0930232558139535
"418","ANpure",9,"Old","AN",1292,0.126436781609195
"419","ANpure",10,"New","AN",1053,0.138297872340426
"420","ANpure",10,"Old","AN",1338,0.244897959183674
"421","ANpure",11,"New","AN",529,0.0303030303030303
"422","ANpure",11,"Old","AN",522,0.0217391304347826
"423","ANpure",12,"New","AN",758,0.0204081632653061
"424","ANpure",12,"Old","AN",693,0.0212765957446809
"425","ANpure",13,"New","AN",1014,0.273684210526316
"426","ANpure",13,"Old","AN",1074,0.247191011235955
"427","ANpure",14,"New","AN",871.5,0.0212765957446809
"428","ANpure",14,"Old","AN",711,0.0510204081632653
"429","ANpure",15,"New","AN",718.5,0.0285714285714286
"430","ANpure",15,"Old","AN",733,0
"431","ANpure",16,"New","AN",798.5,0.182795698924731
"432","ANpure",16,"Old","AN",676,0.0842105263157895
"433","ANpure",17,"New","AN",645,0.00943396226415094
"434","ANpure",17,"Old","AN",669,0
"435","ANpure",18,"New","AN",630,0.0824742268041238
"436","ANpure",18,"Old","AN",572.5,0.031578947368421
"437","ANpure",19,"New","AN",758,0.0571428571428572
"438","ANpure",19,"Old","AN",633,0.0804597701149425
"439","ANpure",21,"New","AN",880,0.0674157303370787
"440","ANpure",21,"Old","AN",849.5,0.0196078431372549
"441","ANpure",22,"New","AN",598,0.682926829268293
"442","ANpure",22,"Old","AN",462,0.0897435897435898
"443","ANpure",23,"New","AN",1033.5,0.262135922330097
"444","ANpure",23,"Old","AN",997,0.0119047619047619
"445","ANpure",24,"New","AN",763.5,0.029126213592233
"446","ANpure",24,"Old","AN",718,0.0898876404494382
"447","ANpure",25,"New","AN",704,0.0113636363636364
"448","ANpure",25,"Old","AN",792,0.0673076923076923
"449","ANpure",26,"New","AN",1491,0.0816326530612245
"450","ANpure",26,"Old","AN",1741,0.0967741935483871
"451","ANpure",27,"New","AN",775.5,0.0512820512820513
"452","ANpure",27,"Old","AN",865,0.0720720720720721
"453","ANpure",28,"New","AN",590,0.053763440860215
"454","ANpure",28,"Old","AN",524.5,0.0303030303030303
"455","ANpure",29,"New","AN",1860.5,0.318681318681319
"456","ANpure",29,"Old","AN",1190,0.4625
"457","ANpure",30,"New","AN",822,0.0319148936170213
"458","ANpure",30,"Old","AN",839,0.0645161290322581
"459","ANpure",31,"New","AN",1200.5,0.036144578313253
"460","ANpure",31,"Old","AN",1054,0.0373831775700935
"461","ANpure",32,"New","AN",481,0.0813953488372093
"462","ANpure",32,"Old","AN",443,0.0283018867924528
"463","ANpure",33,"New","AN",664,0.0194174757281553
"464","ANpure",33,"Old","AN",591.5,0.0112359550561798
"465","ANpure",34,"New","AN",1009.5,0.278350515463918
"466","ANpure",34,"Old","AN",904,0.219178082191781
"467","CMpure",1,"New","CM",648,0.0957446808510638
"468","CMpure",1,"Old","CM",596,0.22680412371134
"469","CMpure",2,"New","CM",583,0.228571428571429
"470","CMpure",2,"Old","CM",590,0.0804597701149425
"471","CMpure",3,"New","CM",646,0.0190476190476191
"472","CMpure",3,"Old","CM",619,0.0344827586206896
"473","CMpure",4,"New","CM",569,0.0480769230769231
"474","CMpure",4,"Old","CM",572.5,0.0681818181818182
"475","CMpure",5,"New","CM",858,0.211538461538462
"476","CMpure",5,"Old","CM",1048.5,0.0952380952380952
"477","CMpure",6,"New","CM",966.5,0.0975609756097561
"478","CMpure",6,"Old","CM",773,0.119266055045872
"479","CMpure",7,"New","CM",751,0.0531914893617021
"480","CMpure",7,"Old","CM",802,0.13265306122449
"481","CMpure",8,"New","CM",541.5,0.0105263157894737
"482","CMpure",8,"Old","CM",514,0.0103092783505154
"483","CMpure",9,"New","CM",886,0.114583333333333
